a,118
abad,2
abduh,1
abu,1
acara,4
acdp,1
ada,24
adalah,20
adanya,2
adapun,3
aditama,1
agama,3
agar,10
agatha,2
agung,1
agustinus,3
ahli,1
ahmad,1
air,1
aisyah,2
ajak,1
ajang,12
ajar,1
ajaran,1
akademi,2
akademik,1
akademiknya,1
akademis,2
akademisi,4
akan,53
akbar,1
akibat,1
akses,10
aksi,1
aktif,5
aktifitas,1
aktivitas,1
aktris,2
akun,3
alabama,1
alasan,1
alat,1
aldiano,2
alertness,1
alias,1
aliyah,1
alokasi,1
alternatif,2
alumni,2
alwan,1
amal,1
aman,4
amat,1
ambil,2
ambisi,1
amerika,1
amsterdam,3
an,4
anak,111
and,8
andien,2
andika,2
andre,11
anggota,1
angka,7
angkatan,2
antar,3
antara,11
antaranya,2
antarkota,2
antusias,1
apa,13
apalagi,1
apapun,1
apbd,1
aplikasi,2
april,22
arab,3
arahan,1
are,1
area,2
arti,1
artikel,2
artinya,1
asalkan,2
asean,1
asia,6
asian,2
aso,9
aspek,1
astra,1
asumsinya,1
atap,1
atas,18
atau,29
ataupun,1
aturannya,1
auditorium,2
auliya,1
avian,4
awal,2
ayo,2
b,1
baca,17
badan,7
bagaimana,3
bagi,29
bagian,3
baginya,2
bagus,1
bahagia,3
bahan,1
bahasa,11
bahaya,1
bahkan,4
bahwa,9
baik,32
bakrun,1
balai,1
bali,4
bambang,4
bandara,1
bandung,5
bangga,2
bangkit,1
bangkok,1
bangsa,3
bangun,1
banjir,3
bank,1
banten,1
bantuan,8
banyak,36
banyakjenis,1
banyumas,1
bapak,4
bappenas,1
barang,2
barat,2
barbados,1
barkeley,1
baru,11
basket,1
batas,2
bawah,5
beasiswa,16
bebas,1
beberapa,9
beda,1
begitu,3
bekal,1
bekerja,5
bekerjasama,4
belajar,28
belakang,1
belanda,4
belarus,1
belawati,1
belgia,1
beliau,2
belum,6
benang,1
benazio,1
benazioputra,1
bentara,1
bentuk,5
bepergian,2
berada,5
beradaptasi,4
beragam,3
berani,4
berapa,2
berarti,2
berasal,8
berat,1
berbagai,19
berbagi,2
berbahasa,1
berbasis,7
berbeda,1
berbelanja,2
berbicara,1
berbuah,1
bercerita,1
berdampak,1
berdasarkan,6
berfokus,2
bergegas,2
bergeser,1
berharap,5
berhasil,7
berhenti,1
berikut,4
berinovasi,1
berintegritas,1
berinteraksi,1
berinvestasi,1
berisi,3
berita,1
berjalanan,1
berjodoh,1
berjumlah,1
berkat,1
berkebutuhan,4
berkelanjutan,3
berkembang,2
berkhayal,5
berkomentar,1
berkompetisi,2
berkontribusi,1
berkualitas,1
berkuliah,1
berlaku,1
berlangsung,2
berlari,1
berliku,1
bermain,10
bermanfaat,1
bermimpi,2
bermitra,1
bermutu,1
beroperasi,1
berpikir,4
berprestasi,1
bersaing,5
bersama,3
berserta,1
bersih,1
bersikap,1
bersinergi,1
berstandar,3
bersyukur,1
bertalenta,1
bertambah,1
bertanggung,1
bertemu,4
bertingkat,1
berubah,1
berupa,6
berupaya,1
berusia,3
besar,17
betah,1
betul,6
bianti,1
biasa,2
biasanya,1
biaya,1
bicara,2
bidang,12
big,1
bikin,1
bila,1
bilang,1
bilingual,1
bimbingan,1
bina,1
binaannya,1
bintang,6
binus,7
biru,1
bisa,42
bisnis,7
bnsp,6
boe,1
bola,2
bonus,3
bosda,1
botol,1
boyolangu,1
brazil,1
bristol,1
bsnp,5
buah,1
buang,2
buat,3
buatan,1
budaya,4
budi,4
buka,3
bukan,10
bukanlah,1
buku,14
bukunya,1
bulan,7
bulungan,11
bupati,1
buruk,2
butuh,1
c,1
cacat,1
california,2
capaian,4
capek,1
cara,5
caranya,1
cari,2
carlson,1
centuri,1
ceo,1
cepat,6
cerita,4
chiki,2
china,1
christiana,1
chulalongkorn,1
cindonesia,1
cini,2
cita,4
civitas,1
co,1
coba,1
cocok,1
contohnya,1
coordinator,1
csr,1
cuci,2
cukup,7
cuma,2
cuman,1
cuntuk,2
d,34
daerah,21
daftar,1
daihatsu,1
daksa,1
dalam,85
dalamnya,1
dampak,2
dan,301
dana,3
danrem,2
dapat,49
dapet,3
dari,102
dasar,11
data,5
datang,2
datangi,1
david,5
daya,13
deden,1
deh,1
dekat,3
delegasi,1
demi,2
demikian,1
demografi,3
demonstrasi,1
den,1
dengan,106
dengar,1
depan,9
depannya,3
depok,1
desainer,1
desember,5
devie,3
dewan,1
dewasa,5
dhabi,1
di,183
dia,11
diadakan,1
diajarkan,2
diajeng,1
diajukan,1
diakses,4
diakui,1
diamini,1
dianggap,1
diangkat,1
diantaranya,1
diaplikasikan,1
dibandingkan,2
dibantu,1
dibayar,1
dibekali,1
dibentuk,2
diberi,1
diberikan,11
dibidang,1
dibuka,1
dibutuhkan,6
dicapai,2
dicoba,1
didampingi,2
didapat,1
didapatkan,3
didesain,4
didik,2
didirikan,1
didistribusikan,2
didorong,1
didukung,5
diedukasikan,1
digambarkan,1
digantikan,1
digital,15
digitalisasi,1
digugus,1
digunakan,2
dihadapi,1
dihadiri,1
diharapkan,5
dihargai,2
dihubungi,1
dihubungkan,1
diikuti,6
diimplementasikan,1
diindonesia,1
diingat,1
diinginkan,2
diintegrasikan,1
dijadikan,2
dijawab,1
dikarenakan,1
dikatakan,1
dikategorikan,1
dikemas,1
dikenal,1
diketahui,1
dikirim,1
dikutip,4
dilakoni,1
dilaksakan,2
dilaksanakan,3
dilakukan,12
dilanjutkan,1
dilansir,4
dilatih,4
dilombakan,1
diluncurkan,2
dimaksudkan,1
dimana,2
dimanapun,1
dimanfaatkan,1
dimiliki,3
dinamika,1
dinikmati,1
dinilai,1
diop,1
dipaparkan,1
dipelajari,1
dipenuhi,1
diperkotaan,1
diperlukan,1
diperoleh,2
diperuntukkan,1
dipesan,1
dipilih,2
diprediksi,1
diraih,1
dirancang,1
director,3
direkrut,1
direktorat,1
direktur,3
direspon,1
diri,11
dirintis,1
dirinya,5
dirjen,2
disabilitas,5
disampaikan,7
disayangkan,1
disebut,3
disediakan,3
diselenggarakan,3
disempurnakan,1
disetarakan,1
disiapkan,1
disiplin,2
diskusi,2
disrupsi,1
distance,1
distributor,2
disyaratkan,1
ditabrak,1
ditangan,1
ditanggung,1
ditawarkan,1
ditegaskan,1
ditempat,1
ditemukan,1
diterima,4
diterjemahkan,1
ditetapkan,1
ditingkat,1
ditotal,1
ditujukan,1
ditunjuk,1
diucapkan,1
diuji,1
diuntungkan,1
diwisuda,1
diwujudkan,1
djakarta,1
djisman,5
dokumen,1
dominan,1
don,1
donasi,2
donatur,3
dosen,3
dosennya,1
dua,4
duit,3
dukungan,7
dulu,2
dunia,15
e,2
efektif,2
efesien,1
effendy,4
efisien,1
efisiensi,1
eindhoven,1
ekonomi,6
ekternal,1
elektronik,2
emas,9
emirat,2
emosional,2
empat,5
empati,2
enam,1
endah,2
energi,1
enggak,3
enteng,1
entertainer,1
entrepreneurial,1
era,12
etnik,1
eugene,1
euro,8
evaluasi,1
fair,1
faizzurahim,2
fajar,2
fakultas,1
fantasi,1
faridl,2
fashion,3
fashione,1
fasilitas,4
fasilitator,4
fawzi,2
fenomena,1
finlandia,1
fisik,1
fitur,1
fokus,3
fondasi,1
formal,2
forum,2
fukuoka,2
fundamental,2
fungsi,1
gagal,1
gagasan,1
gaji,1
gajinya,1
gambar,1
gambarantangan,1
gampang,2
ganda,1
gara,2
garis,1
garmen,1
gaya,5
gedung,1
gelombang,1
generasi,4
geografis,1
gerakan,10
glen,2
global,2
gojek,1
gugus,1
guna,2
guru,24
gvi,1
haag,1
habibie,1
hadapan,1
hadi,5
hadir,2
hadirnya,1
hal,31
hambatan,3
hamid,1
hampir,4
hanna,2
hanya,16
happen,1
harap,4
harapan,1
harapannya,1
hari,4
harian,3
harry,1
harus,25
hasil,15
hasilnya,1
hati,4
hatta,1
health,1
hebat,5
hengky,2
hentikan,1
hibah,3
hidup,12
hijau,1
hijup,20
hilang,1
hingga,9
hongkong,1
hubungan,1
hujan,2
hukum,1
humaniora,1
humanoid,3
hutan,2
ia,22
ibu,2
ic,10
icde,1
ict,2
id,3
ide,3
idln,1
idza,10
iicba,1
ijasah,1
ikhlas,1
iklan,1
ikut,5
ikuti,1
ilegal,1
ilham,9
ilmiah,1
ilmu,6
ilmuwan,3
imajinasi,5
imajinasilah,1
imbuh,1
immanuel,1
impian,1
in,3
inagurasi,1
india,2
indika,2
individu,3
indonesia,66
industri,20
infomasi,1
infonya,1
informal,1
informasi,7
informatika,1
infrastruktur,3
inggris,9
ingin,9
ini,115
inilah,2
inisiatif,2
inisiator,2
inklusif,1
innovation,2
inovasi,5
inovatif,3
inspirasi,1
instagram,3
instan,1
institusi,6
institut,1
intan,1
interkoneksi,1
internasional,14
international,18
internet,10
inti,1
intoleransi,1
investasi,1
ipa,2
ips,1
irawan,1
irisan,1
isinya,1
islamic,2
isodel,4
israel,1
isteri,1
isu,1
it,4
itc,5
itu,48
itulah,2
iyrc,8
izin,1
j,1
jadi,7
jadilah,1
jadwal,9
jakarta,14
jalan,7
jalanan,3
jam,8
jangan,1
jangka,1
jangkauan,1
jaringan,4
jasa,1
jatuh,2
jauh,3
jawa,1
jawab,3
jawaban,1
jaya,1
jelas,6
jeli,1
jenahara,1
jendela,1
jenis,3
jenjang,6
jepang,7
jerman,1
jernih,1
jika,3
jinjing,1
jiwa,2
jne,2
jogja,2
joko,3
jokowi,3
juara,10
judul,1
juga,68
jujur,1
jumat,9
jumlah,9
jumlahnya,1
jurnalis,2
juruan,1
jurusan,3
justru,4
jusuf,3
juta,3
jutaan,1
k,1
kabupaten,2
kadang,2
kakak,1
kalah,2
kalangan,2
kalau,11
kali,2
kalian,1
kalimantan,1
kalla,1
kaltara,1
kami,7
kamis,9
kampus,1
kampusnya,1
kan,3
kanada,1
kapasitas,2
kapasitasnya,1
karakter,6
karena,20
karir,5
karsa,1
karya,2
karyawannya,1
kasali,1
kasar,2
kasus,2
kata,14
kategori,9
kav,1
kaya,2
kazakhstan,1
ke,34
keadaan,2
keagamaan,1
keahlian,4
kearifan,1
kebahagiaan,4
kebaikan,2
kebangsaan,2
kebanyakan,2
keberadaan,1
kebetulan,1
kebiasaan,1
kebijakan,5
kebudayaan,5
kebutuhan,4
kecakapan,1
kecepatan,2
kecerdasan,1
kecil,2
kedewasaan,1
kedua,2
keempat,2
kegiatan,10
kegiatannya,1
kehadiran,1
kehidupan,2
kejuaraan,3
kejuraan,1
kejuruan,5
kekuatan,2
kelak,2
kelas,7
kelasnya,1
kelemahan,1
kelola,1
kelompok,2
keluar,1
keluaran,1
keluarga,2
keluarganya,1
kemahasiswaan,2
kemajuan,3
kemal,2
kemampuan,11
kembali,1
kembangkan,1
kemdikbud,3
kemendikbud,22
kemenkominfo,1
kementerian,6
kemudian,2
ken,1
kendal,1
kendala,2
kenyataanya,1
kepada,14
kepala,3
kepemimpinan,1
kependidikan,2
kepentingan,1
keputusan,1
kerangka,1
keras,1
kerja,30
kerjanya,1
kerjasama,2
kertas,2
kesehatan,3
kesejahteraan,1
keselamatan,1
keseluruhan,3
kesempatan,9
kesempitan,1
kesenjangan,1
kesepian,1
kesetaraan,2
kesiapan,1
kesuksesan,3
kesulitan,3
ketentuan,1
keterampilan,16
keterlibatan,1
ketiganya,1
ketika,4
ketua,8
keuangan,1
keunggulan,1
keunikan,1
keuntungan,3
kewajaran,1
kewirausahaan,2
khayal,3
khayalan,8
khayalannya,1
khayalkan,2
khusus,12
khususnya,6
kimia,1
kini,5
kira,1
kisah,1
kisi,32
kita,38
kkg,6
kkni,1
klub,2
kodam,1
koharo,2
kok,4
kolaborasi,8
koleksi,1
kolektif,1
kolonel,1
komandan,1
komik,1
kompas,38
kompetensi,4
kompetisi,7
kompleks,1
komponen,3
komputer,6
komunikasi,11
komunitas,4
kondisi,5
koneksi,3
konferensi,1
konseling,1
konsep,2
konsisten,1
konsumen,1
konteks,2
konten,6
kontraknya,1
kontribusi,2
kontribusinya,1
koordinasi,1
koran,1
kordinator,1
korea,4
korem,1
korporasi,4
korporasimelalui,1
kosa,1
kota,4
kotoran,1
kreatif,5
kreativitas,5
kreator,1
kreatorseperti,1
krisis,1
kristanto,1
kriteria,1
kritis,2
kualifikasi,1
kualitas,9
kualitasnya,1
kuantitas,1
kuat,1
kuliah,6
kunci,4
kunjung,1
kurang,6
kurikulum,5
kurikulumnya,1
kuwait,1
laboratorium,1
lagi,8
lahan,1
lahir,3
lain,18
lainnya,5
lakukan,1
lalu,3
lama,2
laman,2
lamban,2
lampau,1
langit,1
langkah,5
langsung,8
lanjut,1
lanjutnya,1
lantaran,1
lapang,1
lapor,1
laptop,1
latar,1
latihan,3
lawan,2
layak,2
layanan,7
lb,2
lcd,1
lebarnya,1
lebih,61
lembaga,5
lengkapnya,1
lepas,1
lestari,1
lewat,4
lim,1
lima,1
lingkungan,6
listrik,1
literasi,6
logika,1
lokal,6
lokasi,4
lomba,2
lpdp,1
lsp,1
luar,11
luas,1
luki,2
lulus,1
lulusan,6
lulusannya,2
luput,1
m,2
ma,4
madrasah,1
magang,1
mahal,1
mahasiswa,46
mahir,1
maju,7
mak,4
maka,6
makanan,1
makin,1
making,2
maklum,1
malah,1
malam,2
malang,3
malaysia,5
mame,1
mampu,7
man,4
mana,7
manapun,1
mandiri,3
manfaat,4
manfaatnya,1
mantan,1
manufaktur,3
manusia,4
maret,8
marine,1
marketing,1
masa,12
masakan,1
masalah,6
masih,4
masing,8
massa,2
masuk,2
masyarakat,16
mata,4
matematika,3
materi,12
mau,6
maupun,4
mawarizkar,1
medali,13
media,5
medio,1
mei,10
meja,1
mekanik,1
mekanisme,1
melakoni,2
melaksanakan,2
melakukan,11
melalui,36
melamar,2
melamun,1
melanjutkan,3
melatih,2
melebih,2
melihat,3
melucu,1
meluncurkan,1
memahami,5
memajukan,3
memakai,1
memanfaatkan,1
memang,3
memarahi,1
memasak,1
memasuki,6
mematikan,1
membaca,15
membagikan,1
membanggakan,2
membangun,9
membantu,15
membantunya,2
membawa,1
membekali,1
membeli,3
membentuk,3
memberi,4
memberikan,30
memborong,2
membuat,17
membuka,6
membukakan,1
memburu,1
